label,text
-1,fort vastenburg benteng peninggalan penjajah belanda kota solo benteng dibangun abad kemarin kesana benteng ditutup masuk benteng sibuat pertunjukan konser benteng letaknya pasar gede solo jalan kaki m sayangnya terawat sampah dimana sayang peninggalan sejarah dirawat dijaga
-1,kecewa berat keluarga air mancurnya tdk dinyalakan nyalanya ya yg daerah tau jadwalnya tdk tau aja tdk diupdate dimanapun jadwal menyalakan air mancurnya weekend nyala momennya pas liburan jd liburan solo skalian lihat air mancurnya
-1,lokasi yg bantaran sungai rawan hujan banjir longsor diwaspadai disarankan anak anak lansia pengawasan maintenance semoga kedepan manfaat kegiatan
-1,reservasi nya yg retail kalah yg sewa menanyakannya open reservasi senin senin pagi disewa dlm mending nggak buka reservasi kalo kalah yg sistem sewa bikin kecewa
-1,sorry to say yg menarik duduk kursi tingkat bus penumpang berebutan duduk diatas alhasil bertukar rute gantian kursi bus kotor kondisinya rusak sandaran ditegakkan sampah kursi didalam nyamuk pemandu komunikatif penjelasan singkat bangunan bersejarah jl slamet riyadi pasar sisanya diam memegang mic info berhenti toko mempersilahkan penumpang turun durasi berhentinya disayangkan berhenti toko batikbaju yg durasinya penumpang anak bosan mainan lantai bus anakku merengek pulang menikmati rute sungguh disayangkan perjalanan yg membosankan seru anak semoga kedepannya lg
-1,taman puaanaaas fullblm tanaman utk keseimbangan lingkungan
-1,penghijauan coba kasih pohon yg bs brmanfaat sprti buahan kalo skarang tanaman skitar bikin serem sungaikali nya jg butuh peremajaan tdk sprti parit
-1,bagus akses lokasi petunjuk jalannya
-1,kali bagus kalinya tahap renovasi semoga bagus sayangkan pegawai perkir provesional parkir area mobil parkir jalan
-1,taman kota tepi sungai solo tambahan deck selfie foto foto kondisi taman terawat view sungai aja menarik arena bermain anak
-1,kali kesini pemandangannya bagus harga tiket dewasa org k anak th k dateng pas weekend spot bagus gak sisanya udah gak terawat jembatannya diperbaikin sempet berekspetasi deket pik banget ketinggian ekspetasi kantin utamanya kecewa banget pelayanannya asalasalan rekomen pribadi yaa yg emg udah gak terawat lumpur deket toilet nya next tolong dibenahi yaa pelayanannya biar org tertarik kesini
-1,kemari pagi pagi bgt januari pagi niatnya parkir dipinggir pantai aja menikmati sepinya januari nganterin lansia beserta cucu cucunya yg barikade area pantai beli tiket online notifikasi kondisi lokasi yg dibarikade barikade pintu masuk ngga edukasi petugas tiket peta lokasi kantong parkir terdekat yg mbak pintu masuk malas menyenangkan komunikasi client disisi pintu penumpang ancol nih pr disisi managemen sdm ngobrol pedagang merasakan jalan dibarikade bikin bingung buang buang pagi pagi kemari ngga gunanya buang buang uang dalem kalo ngantri bis wira wiri nyari yg nyaman tau gini nggak masuk ancol deh
-1,tukang parkir meresahkan nyolotttt pulaaa ngasih rb ditembak lgs rb minggu pdhl minggu suami waduk parkir byr rb dgn dimintain karcis parkirnya mlh ngusir dgn kasar duuuuhhhhh ibukkkkk
-1,yg berpotensi wisata yg menyenangkan dibersihkan dijaga dibebaskan pungli yg gak waduk warung nasi kuning yg enak menubya lumayan lengkap
-1,tukang parkir meresahkan nyolotttt pulaaa ngasih rb ditembak lgs rb minggu pdhl minggu suami waduk parkir byr rb dgn dimintain karcis parkirnya mlh ngusir dgn kasar duuuuhhhhh ibukkkkk
-1,yg berpotensi wisata yg menyenangkan dibersihkan dijaga dibebaskan pungli yg gak waduk warung nasi kuning yg enak menubya lumayan lengkap
-1,sih bagus air mancur yg muncul jam sore sayangnya anak diperbolehkan bermain air situ taman puring anak diperbolehkan bermain air mancur
-1,sayang gk bs kasi bintang dibawah masuk k dapatnya pekarangan doang parkir k lokasi sembrawut kolam masuk k tp gk worth it maenan bayar lg dr keliatan bagus bgt hbs masuk lgsg pengen aja
-1,tolong pengelola perhatikan pemilaharaan tempatnya wahana permainan anak anak nya tua usang tanda perbaikan diperbaiki dimana uang tiket bayarkan gaji pegawai memperhatikan kelayakan memelihara alat wahana permainan
-1,gak kesini sorry aja sabtu kemarin anak berkunjung teman nya kondisi air bilas air wastafel air pancuran kotor kotor keruh cokelat berpasir gak yg notice staff nya males ngecek udah kasih tau tp cm bilang oh pulang anak langsung demam ga berselang bintik merah gatal bernanah langsung dokter pas check penyebab nya kutu air yg mandi bermain air sedih banget habis pulang bermain sakit nyesel banget bawa anak main kesini gak yg special cm wahana air wahana permainan yg seadanya harga rb gak sepadan udah nya kotor anak lho yg banget diperhatikan kebersihan nya kebersihan air pakai toiletnya area sensitif gatal ampun deh gak sumpah makanan minuman nya mahal gak pilihan b aja gak sepadan harga nya bayangin aja ice milo yg gak enaknyabitu harga nya rb masuk gak dikasih struk tanda bener ngasal nih staff nya oh ya area bermain pasir gak pasirnya udah amburadul kemana ga pokoknya nyamuk pikir ya guys kalo kesini pengalaman
-1,recommend ngadem kopi b aja pelayanan ramah niat meja ngk tatakan gelas kasi tissue pesen es kopi netes suggest ambil posisi duduk deket jendela ya
-1,please management perbaiki deh minus banget uang ga menerima anak didik field ga nilai edukasi crowded melebihi pasar tradisional pengunjung berjibun sampe ga sesak nafas ga perhitungan pengunjung rombongan sekolahan survey daftar hitungannya donk ngasih piagam sekolah simbol aja perbaiki minus banget dehga apanya dibanding jakarta aquarium
-1,this place is a real time machine i used to visiting ppiptek almost every week due to indosat galileo hype s kid here so i remembered most of the exhibits there i had a impression that ppiptek was really fun back then as a child decades later back to this place visiting as a parent bringing my year old son as long as i could remember of the exhibits with additions here there are still the same like i used to play as elementary student back then i jokingly told my husband that this place is an epitome of indonesias science condition undeveloped abandoned many of the exhibits here are broken places are quite dim its very sad to see isc in such condition last week we had a chance to visited petrosains at klcc i realized comparing isc to petrosains isnt quite fair considering the entrance fee at isc is very cheap but both of them are stateowned petrosains under petronas and isc under brin hoping this place will get a huge maintenance revitalization a lot of fund is needed tho since higher education considered as tertriary maybe
-1,update yg skrng sdh plosotan bak air mandi yg dri samarinda zonk hehehehmasukannya kali tolong diupdate fasilitasnya ya
-1,first of all tmpt nya cuman foto foto instagramable ga main pantainya langsung pergi pagisiang tida recomended maybe kalo kesininya sore better pelayanannya humble security casheer pemegang ticket thank u
-1,pantai angkasa indah kali buka fasilitas tersedia lengkap bermain ayunan jungkat jungkitnya bagus akses masuk bayar lumayan mahal orang rp parkir rp sebanding fasilitas kebersihan mengenaskan pantainya kotor dibandingkan buka koral pecahan botol kesimpulannya pantai potensi bagus wisata dikelola
-1,tempatnya luas pohon sayang petugas gedung informasi datengin tetep ngobrol bareng makan makan pengunjung ga dihiraukan cuman mendekat negur sepatunya harap dilepas yaa jahe merah dimana track dihutan yg ramah anggrek pengunjung dijelasin welcome sempet karcis aja kedlm ditemani pembibitan disana petugasnya orang pembibitan bayar masuk k dewasa k anak worth
-1,perjalanan sulit dr jalan utama tanah danau info bekas galian tambang nampak terurus bersantai mancing menarik difoto bagus
-1,wisata ya kolam dikategorikan danau fasilitas pengunjung kondisi area dikelola cobacoba kesini hujan hujan jalannya tanah gunung akses permukiman ditutup pemilik lahan
-1,kondisi danau terawat genangan air jalan lokasi berlumpur jelek rekomended kesini
-1,tempatnya bagus ga karna warlok ngatain berjalan nadanya kalimatnya sekolah ngga kalo ngga sekolah biar belajar niatnya parkir maju pas putar udah dikatain niat bapaknya ga ngatain bawa bawa sekolah direndahkan
-1,lumayan bagus santai keluarga sayang pantainya sampah berbahaya beling membahayakan
-1,bagus fasilitas toilet standar pesan makan datangnya ga pelanggan minuman standar pelayanan ramah ditingkatkan
-1,haduh mbaktoiletnya dapet ember aja mandi susahmasih tidur udah diusir alus pake sound keras
-1,minggu pagi lumayan ramai pengunjung jogging senam jalan sehat kawan keluarga jenis jajanan suka kulineran jalan aspal perbaikan toilet laki air flushing nya rusak kecewa pungutan biaya parkiran toiletnya kota balikpapan gratis fasilitas
-1,gazebo mahal tembak harga ndk sesuai pokok nya klo ngecamp bdk bagus
-1,area kamping pinggir pantai luas lumayan bersih harga ribuorg anak dibawah gratis biaya kemping instalasi listrik kamar mandi ribu sewa tenda sekeluarga org dewasa juta tenda rp ribu perlengkapan lampu kemping area seluas mumpuni kemping weekend kabel lampu tenda kehabisan solusi pengurus pengunjung usaha menerima pembatalanpengurangan pembayaran pengunjung diwajibkan berbesar hati berkemah kegelapan
-1,terawat lumayan gelap penerangan promosi tdak tau
-1,gila bener mahal tiket masuknya dihitung orang rbpadahal masuk aja viewnya akses masuk sempit berpapasan mobil
-1,we visited here today with our children expecting different this is sadly not very nice to visit or play please save your time and experience something else in surabaya the playground is broken theres a lot of dirt and not very well maintained garden plants or bamboo side street vendor for a cafe there is a walking pathroad around the place which is very broken unfortunate to see such a place so run down which has so much potential we were however happy to get outdoors and at least walk around in some fresh air
-1,if youre looking for this white building with maybank sign on it its not here instead it should be de nutsspaarbank te soerabaia in google map
-1,dipisah transaksi online non onlineantrian ribetknp ribet lancarfasilitas ajapemkot bikin repot warga pingin berlibur
-1,sangatsangat mengecewakan lokasinya kotorkemproh banget orang nyekar disarankan mengenal berwisata tepi laut lumayan tiket masuk tergolong mahal rb pantai kemproh banget dijamin kecuali sangatsangat terpaksa pilihan
-1,tau foto bayar rb kesini pengujung bebas layaknya wisata sdikit bagus wlopun bnyak sampah yg berserakan sepi pengunjung ntah jdi bayar rb org cari duit prewed fotografer pake kamera profesional bayar segitu make sense make hp rb mengecewakan
-1,aja kesana masuk bayar k motor tempt terawat seprtinya sdh terbengkalai pdhl dlu rame byk penjual mkaman skrg sepiii zonk dah uang k terbuang sia hororrrr bnget jd milih lngsung pulang pdhl mggu tp gk org satupun
-1,tutup sih pas kesini akses jalannya diblokir sampah berserakan dimanamna dipandang
